 ,X,Y
1,338.000,265.000
2,368.083,285.083
3,350.500,288.197
4,352.083,294.333
5,360.500,292.500
6,338.000,265.000
7,368.083,285.083
8,350.500,288.197
9,352.083,294.333
10,360.500,292.500
11,321.305,286.183
12,345.500,279.500
13,318.500,280.500
14,306.500,284.500
15,288.000,287.000
16,295.500,291.500
17,323.500,295.500
18,340.500,295.500
19,347.500,296.500
